class,error,class1,error1,class2,error2,final_class,final_error
"whiptail, whiptail lizard",1,whiptail,0,whiptail,0,whiptail,0
agama,0,agama,0,agama,0,agama,0
"frilled lizard, Chlamydosaurus kingi",1,frilled lizard,1,lizard,0,lizard,0
alligator lizard,1,alligator lizard,1,lizard,0,lizard,0
"Gila monster, Heloderma suspectum",1,Gila monster,1,monster,0,lizard,0
"green lizard, Lacerta viridis",1,green lizard,1,lizard,0,lizard,0
"African chameleon, Chamaeleo chamaeleon",1,African chameleon,1,chameleon,0,chameleon,0
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1,Komodo dragon,1,dragon,0,dragon,0
"African crocodile, Nile crocodile, Crocodylus niloticus",1,African crocodile,1,crocodile,0,crocodile,0
"American alligator, Alligator mississipiensis",1,American alligator,1,alligator,0,alligator,0
triceratops,0,triceratops,0,triceratops,0,triceratops,0
"thunder snake, worm snake, Carphophis amoenus",1,thunder snake,1,snake,0,snake,0
"ringneck snake, ring-necked snake, ring snake",1,ringneck snake,1,snake,0,snake,0
"hognose snake, puff adder, sand viper",1,hognose snake,1,snake,0,snake,0
"green snake, grass snake",1,green snake,1,snake,0,snake,0
"king snake, kingsnake",1,king snake,1,snake,0,snake,0
"garter snake, grass snake",1,garter snake,1,snake,0,snake,0
water snake,1,water snake,1,snake,0,snake,0
vine snake,1,vine snake,1,snake,0,snake,0
"night snake, Hypsiglena torquata",1,night snake,1,snake,0,snake,0
"boa constrictor, Constrictor constrictor",1,boa constrictor,1,constrictor,0,constrictor,0
"rock python, rock snake, Python sebae",1,rock python,1,python,0,python,0
"Indian cobra, Naja naja",1,Indian cobra,1,cobra,0,cobra,0
green mamba,1,green mamba,1,mamba,0,mamba,0
sea snake,1,sea snake,1,snake,0,snake,0
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",1,horned viper,1,viper,0,viper,0
"diamondback, diamondback rattlesnake, Crotalus adamanteus",1,diamondback,0,diamondback,0,diamondback,0
"sidewinder, horned rattlesnake, Crotalus cerastes",1,sidewinder,0,sidewinder,0,sidewinder,0
trilobite,0,trilobite,0,trilobite,0,trilobite,0
"harvestman, daddy longlegs, Phalangium opilio",1,harvestman,1,harvestman,1,spider,0
scorpion,0,scorpion,0,scorpion,0,scorpion,0
"black and gold garden spider, Argiope aurantia",1,black and gold garden spider,1,spider,0,spider,0
"barn spider, Araneus cavaticus",1,barn spider,1,spider,0,spider,0
"garden spider, Aranea diademata",1,garden spider,1,spider,0,spider,0
"black widow, Latrodectus mactans",1,black widow,1,widow,0,spider,0
tarantula,0,tarantula,0,tarantula,0,tarantula,0
"wolf spider, hunting spider",1,wolf spider,1,spider,0,spider,0
tick,0,tick,0,tick,0,tick,0
centipede,0,centipede,0,centipede,0,centipede,0
black grouse,1,black grouse,1,grouse,0,grouse,0
ptarmigan,0,ptarmigan,0,ptarmigan,0,ptarmigan,0
"ruffed grouse, partridge, Bonasa umbellus",1,ruffed grouse,1,grouse,0,grouse,0
"prairie chicken, prairie grouse, prairie fowl",1,prairie chicken,1,chicken,0,chicken,0
peacock,0,peacock,0,peacock,0,peacock,0
quail,0,quail,0,quail,0,quail,0
partridge,0,partridge,0,partridge,0,partridge,0
"African grey, African gray, Psittacus erithacus",1,African grey,1,grey,1,parrot,0
macaw,0,macaw,0,macaw,0,macaw,0
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1,sulphur-crested cockatoo,1,cockatoo,0,cockatoo,0
lorikeet,0,lorikeet,0,lorikeet,0,lorikeet,0
coucal,1,coucal,1,coucal,1,bird,0
bee eater,1,bee eater,1,eater,0,eater,0
hornbill,0,hornbill,0,hornbill,0,hornbill,0
hummingbird,0,hummingbird,0,hummingbird,0,hummingbird,0
jacamar,1,jacamar,1,jacamar,1,bird,0
toucan,0,toucan,0,toucan,0,toucan,0
drake,0,drake,0,drake,0,drake,0
"red-breasted merganser, Mergus serrator",1,red-breasted merganser,1,merganser,0,merganser,0
goose,0,goose,0,goose,0,goose,0
"black swan, Cygnus atratus",1,black swan,1,swan,0,swan,0
tusker,0,tusker,0,tusker,0,tusker,0
"echidna, spiny anteater, anteater",1,echidna,0,echidna,0,echidna,0
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1,platypus,0,platypus,0,platypus,0
"wallaby, brush kangaroo",1,wallaby,0,wallaby,0,wallaby,0
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1,koala,0,koala,0,koala,0
wombat,0,wombat,0,wombat,0,wombat,0
jellyfish,0,jellyfish,0,jellyfish,0,jellyfish,0
"sea anemone, anemone",1,sea anemone,1,anemone,0,anemone,0
brain coral,1,brain coral,1,coral,0,coral,0
"flatworm, platyhelminth",1,flatworm,0,flatworm,0,flatworm,0
"nematode, nematode worm, roundworm",1,nematode,0,nematode,0,nematode,0
conch,0,conch,0,conch,0,conch,0
snail,0,snail,0,snail,0,snail,0
slug,0,slug,0,slug,0,slug,0
"sea slug, nudibranch",1,sea slug,1,slug,0,slug,0
"chiton, coat-of-mail shell, sea cradle, polyplacophore",1,chiton,0,chiton,0,chiton,0
"chambered nautilus, pearly nautilus, nautilus",1,chambered nautilus,1,nautilus,0,nautilus,0
"Dungeness crab, Cancer magister",1,Dungeness crab,1,crab,0,crab,0
"rock crab, Cancer irroratus",1,rock crab,1,crab,0,crab,0
fiddler crab,1,fiddler crab,1,crab,0,crab,0
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",1,king crab,1,crab,0,crab,0
"American lobster, Northern lobster, Maine lobster, Homarus americanus",1,American lobster,1,lobster,0,lobster,0
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1,spiny lobster,1,lobster,0,lobster,0
"crayfish, crawfish, crawdad, crawdaddy",1,crayfish,0,crayfish,0,crayfish,0
hermit crab,1,hermit crab,1,crab,0,crab,0
isopod,0,isopod,0,isopod,0,isopod,0
"white stork, Ciconia ciconia",1,white stork,1,stork,0,stork,0
"black stork, Ciconia nigra",1,black stork,1,stork,0,stork,0
spoonbill,0,spoonbill,0,spoonbill,0,spoonbill,0
flamingo,0,flamingo,0,flamingo,0,flamingo,0
"little blue heron, Egretta caerulea",1,little blue heron,1,heron,0,heron,0
"American egret, great white heron, Egretta albus",1,American egret,1,egret,0,egret,0
bittern,0,bittern,0,bittern,0,bittern,0
crane,0,crane,0,crane,0,crane,0
"limpkin, Aramus pictus",1,limpkin,1,limpkin,1,bird,0
"European gallinule, Porphyrio porphyrio",1,European gallinule,1,gallinule,0,gallinule,0
"American coot, marsh hen, mud hen, water hen, Fulica americana",1,American coot,1,coot,0,coot,0
bustard,0,bustard,0,bustard,0,bustard,0
"ruddy turnstone, Arenaria interpres",1,ruddy turnstone,1,turnstone,0,turnstone,0
"red-backed sandpiper, dunlin, Erolia alpina",1,red-backed sandpiper,1,sandpiper,0,sandpiper,0
"redshank, Tringa totanus",1,redshank,0,redshank,0,redshank,0
dowitcher,1,dowitcher,1,dowitcher,1,bird,0
"oystercatcher, oyster catcher",1,oystercatcher,0,oystercatcher,0,oystercatcher,0
pelican,0,pelican,0,pelican,0,pelican,0
"king penguin, Aptenodytes patagonica",1,king penguin,1,penguin,0,penguin,0
"albatross, mollymawk",1,albatross,0,albatross,0,albatross,0
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1,grey whale,1,whale,0,whale,0
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",1,killer whale,1,whale,0,whale,0
"dugong, Dugong dugon",1,dugong,0,dugong,0,dugong,0
sea lion,1,sea lion,1,lion,0,lion,0
Chihuahua,0,Chihuahua,0,Chihuahua,0,Chihuahua,0
Japanese spaniel,1,Japanese spaniel,1,spaniel,0,spaniel,0
"Maltese dog, Maltese terrier, Maltese",1,Maltese dog,1,dog,0,dog,0
"Pekinese, Pekingese, Peke",1,Pekinese,0,Pekinese,0,Pekinese,0
Shih-Tzu,1,Shih-Tzu,1,Shih-Tzu,1,dog,0
Blenheim spaniel,1,Blenheim spaniel,1,spaniel,0,spaniel,0
papillon,0,papillon,0,papillon,0,papillon,0
toy terrier,1,toy terrier,1,terrier,0,terrier,0
Rhodesian ridgeback,1,Rhodesian ridgeback,1,ridgeback,0,ridgeback,0
"Afghan hound, Afghan",1,Afghan hound,1,hound,0,hound,0
"basset, basset hound",1,basset,0,basset,0,basset,0
beagle,0,beagle,0,beagle,0,beagle,0
"bloodhound, sleuthhound",1,bloodhound,0,bloodhound,0,bloodhound,0
bluetick,0,bluetick,0,bluetick,0,bluetick,0
black-and-tan coonhound,1,black-and-tan coonhound,1,coonhound,0,coonhound,0
"Walker hound, Walker foxhound",1,Walker hound,1,hound,0,hound,0
English foxhound,1,English foxhound,1,foxhound,0,foxhound,0
redbone,0,redbone,0,redbone,0,redbone,0
"borzoi, Russian wolfhound",1,borzoi,0,borzoi,0,borzoi,0
Irish wolfhound,1,Irish wolfhound,1,wolfhound,0,wolfhound,0
Italian greyhound,1,Italian greyhound,1,greyhound,0,greyhound,0
whippet,0,whippet,0,whippet,0,whippet,0
"Ibizan hound, Ibizan Podenco",1,Ibizan hound,1,hound,0,hound,0
"Norwegian elkhound, elkhound",1,Norwegian elkhound,1,elkhound,0,elkhound,0
"otterhound, otter hound",1,otterhound,1,otterhound,1,dog,0
"Saluki, gazelle hound",1,Saluki,0,Saluki,0,Saluki,0
"Scottish deerhound, deerhound",1,Scottish deerhound,1,deerhound,0,deerhound,0
Weimaraner,0,Weimaraner,0,Weimaraner,0,Weimaraner,0
"Staffordshire bullterrier, Staffordshire bull terrier",1,Staffordshire bullterrier,1,bullterrier,1,dog,0
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1,American Staffordshire terrier,1,terrier,0,terrier,0
Bedlington terrier,1,Bedlington terrier,1,terrier,0,terrier,0
Border terrier,1,Border terrier,1,terrier,0,terrier,0
Kerry blue terrier,1,Kerry blue terrier,1,terrier,0,terrier,0
Irish terrier,1,Irish terrier,1,terrier,0,terrier,0
Norfolk terrier,1,Norfolk terrier,1,terrier,0,terrier,0
Norwich terrier,1,Norwich terrier,1,terrier,0,terrier,0
Yorkshire terrier,1,Yorkshire terrier,1,terrier,0,terrier,0
wire-haired fox terrier,1,wire-haired fox terrier,1,terrier,0,terrier,0
Lakeland terrier,1,Lakeland terrier,1,terrier,0,terrier,0
"Sealyham terrier, Sealyham",1,Sealyham terrier,1,terrier,0,terrier,0
"Airedale, Airedale terrier",1,Airedale,0,Airedale,0,Airedale,0
"cairn, cairn terrier",1,cairn,0,cairn,0,cairn,0
Australian terrier,1,Australian terrier,1,terrier,0,terrier,0
"Dandie Dinmont, Dandie Dinmont terrier",1,Dandie Dinmont,1,Dinmont,1,dog,0
"Boston bull, Boston terrier",1,Boston bull,1,bull,0,bull,0
miniature schnauzer,1,miniature schnauzer,1,schnauzer,0,schnauzer,0
giant schnauzer,1,giant schnauzer,1,schnauzer,0,schnauzer,0
standard schnauzer,1,standard schnauzer,1,schnauzer,0,schnauzer,0
"Scotch terrier, Scottish terrier, Scottie",1,Scotch terrier,1,terrier,0,terrier,0
"Tibetan terrier, chrysanthemum dog",1,Tibetan terrier,1,terrier,0,terrier,0
"silky terrier, Sydney silky",1,silky terrier,1,terrier,0,terrier,0
soft-coated wheaten terrier,1,soft-coated wheaten terrier,1,terrier,0,terrier,0
West Highland white terrier,1,West Highland white terrier,1,terrier,0,terrier,0
"Lhasa, Lhasa apso",1,Lhasa,0,Lhasa,0,Lhasa,0
flat-coated retriever,1,flat-coated retriever,1,retriever,0,retriever,0
curly-coated retriever,1,curly-coated retriever,1,retriever,0,retriever,0
golden retriever,1,golden retriever,1,retriever,0,retriever,0
Labrador retriever,1,Labrador retriever,1,retriever,0,retriever,0
Chesapeake Bay retriever,1,Chesapeake Bay retriever,1,retriever,0,retriever,0
German short-haired pointer,1,German short-haired pointer,1,pointer,0,pointer,0
"vizsla, Hungarian pointer",1,vizsla,0,vizsla,0,vizsla,0
English setter,1,English setter,1,setter,0,setter,0
"Irish setter, red setter",1,Irish setter,1,setter,0,setter,0
Gordon setter,1,Gordon setter,1,setter,0,setter,0
Brittany spaniel,1,Brittany spaniel,1,spaniel,0,spaniel,0
"clumber, clumber spaniel",1,clumber,1,clumber,1,dog,0
"English springer, English springer spaniel",1,English springer,1,springer,0,springer,0
Welsh springer spaniel,1,Welsh springer spaniel,1,spaniel,0,spaniel,0
"cocker spaniel, English cocker spaniel, cocker",1,cocker spaniel,1,spaniel,0,spaniel,0
Sussex spaniel,1,Sussex spaniel,1,spaniel,0,spaniel,0
Irish water spaniel,1,Irish water spaniel,1,spaniel,0,spaniel,0
kuvasz,1,kuvasz,1,kuvasz,1,dog,0
schipperke,0,schipperke,0,schipperke,0,schipperke,0
groenendael,1,groenendael,1,groenendael,1,dog,0
malinois,0,malinois,0,malinois,0,malinois,0
briard,1,briard,1,briard,1,dog,0
kelpie,0,kelpie,0,kelpie,0,kelpie,0
komondor,1,komondor,1,komondor,1,dog,0
"Old English sheepdog, bobtail",1,Old English sheepdog,1,sheepdog,0,sheepdog,0
"Shetland sheepdog, Shetland sheep dog, Shetland",1,Shetland sheepdog,1,sheepdog,0,sheepdog,0
collie,0,collie,0,collie,0,collie,0
Border collie,1,Border collie,1,collie,0,collie,0
"Bouvier des Flandres, Bouviers des Flandres",1,Bouvier des Flandres,1,Flandres,0,Flandres,0
Rottweiler,0,Rottweiler,0,Rottweiler,0,Rottweiler,0
"German shepherd, German shepherd dog, German police dog, alsatian",1,German shepherd,1,shepherd,0,shepherd,0
"Doberman, Doberman pinscher",1,Doberman,0,Doberman,0,Doberman,0
miniature pinscher,1,miniature pinscher,1,pinscher,0,pinscher,0
Greater Swiss Mountain dog,1,Greater Swiss Mountain dog,1,dog,0,dog,0
Bernese mountain dog,1,Bernese mountain dog,1,dog,0,dog,0
Appenzeller,0,Appenzeller,0,Appenzeller,0,Appenzeller,0
EntleBucher,1,EntleBucher,1,EntleBucher,1,dog,0
boxer,0,boxer,0,boxer,0,boxer,0
bull mastiff,1,bull mastiff,1,mastiff,0,mastiff,0
Tibetan mastiff,1,Tibetan mastiff,1,mastiff,0,mastiff,0
French bulldog,1,French bulldog,1,bulldog,0,bulldog,0
Great Dane,1,Great Dane,1,Dane,0,Dane,0
"Saint Bernard, St Bernard",1,Saint Bernard,1,Bernard,0,Bernard,0
"Eskimo dog, husky",1,Eskimo dog,1,dog,0,dog,0
"malamute, malemute, Alaskan malamute",1,malamute,0,malamute,0,malamute,0
Siberian husky,1,Siberian husky,1,husky,0,husky,0
"dalmatian, coach dog, carriage dog",1,dalmatian,0,dalmatian,0,dalmatian,0
"affenpinscher, monkey pinscher, monkey dog",1,affenpinscher,0,affenpinscher,0,affenpinscher,0
basenji,0,basenji,0,basenji,0,basenji,0
"pug, pug-dog",1,pug,0,pug,0,pug,0
Leonberg,0,Leonberg,0,Leonberg,0,Leonberg,0
"Newfoundland, Newfoundland dog",1,Newfoundland,0,Newfoundland,0,Newfoundland,0
Great Pyrenees,1,Great Pyrenees,1,Pyrenees,0,Pyrenees,0
"Samoyed, Samoyede",1,Samoyed,0,Samoyed,0,Samoyed,0
Pomeranian,0,Pomeranian,0,Pomeranian,0,Pomeranian,0
"chow, chow chow",1,chow,0,chow,0,chow,0
keeshond,0,keeshond,0,keeshond,0,keeshond,0
Brabancon griffon,1,Brabancon griffon,1,griffon,0,griffon,0
"Pembroke, Pembroke Welsh corgi",1,Pembroke,0,Pembroke,0,Pembroke,0
"Cardigan, Cardigan Welsh corgi",1,Cardigan,0,Cardigan,0,Cardigan,0
toy poodle,1,toy poodle,1,poodle,0,poodle,0
miniature poodle,1,miniature poodle,1,poodle,0,poodle,0
standard poodle,1,standard poodle,1,poodle,0,poodle,0
Mexican hairless,1,Mexican hairless,1,hairless,0,hairless,0
"timber wolf, grey wolf, gray wolf, Canis lupus",1,timber wolf,1,wolf,0,wolf,0
"white wolf, Arctic wolf, Canis lupus tundrarum",1,white wolf,1,wolf,0,wolf,0
"red wolf, maned wolf, Canis rufus, Canis niger",1,red wolf,1,wolf,0,wolf,0
"coyote, prairie wolf, brush wolf, Canis latrans",1,coyote,0,coyote,0,coyote,0
"dingo, warrigal, warragal, Canis dingo",1,dingo,0,dingo,0,dingo,0
"dhole, Cuon alpinus",1,dhole,1,dhole,1,dog,0
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1,African hunting dog,1,dog,0,dog,0
"hyena, hyaena",1,hyena,0,hyena,0,hyena,0
"red fox, Vulpes vulpes",1,red fox,1,fox,0,fox,0
"kit fox, Vulpes macrotis",1,kit fox,1,fox,0,fox,0
"Arctic fox, white fox, Alopex lagopus",1,Arctic fox,1,fox,0,fox,0
"grey fox, gray fox, Urocyon cinereoargenteus",1,grey fox,1,fox,0,fox,0
"tabby, tabby cat",1,tabby,0,tabby,0,tabby,0
tiger cat,1,tiger cat,1,cat,0,cat,0
Persian cat,1,Persian cat,1,cat,0,cat,0
"Siamese cat, Siamese",1,Siamese cat,1,cat,0,cat,0
Egyptian cat,1,Egyptian cat,1,cat,0,cat,0
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1,cougar,0,cougar,0,cougar,0
"lynx, catamount",1,lynx,0,lynx,0,lynx,0
"leopard, Panthera pardus",1,leopard,0,leopard,0,leopard,0
"snow leopard, ounce, Panthera uncia",1,snow leopard,1,leopard,0,leopard,0
"jaguar, panther, Panthera onca, Felis onca",1,jaguar,0,jaguar,0,jaguar,0
"lion, king of beasts, Panthera leo",1,lion,0,lion,0,lion,0
"tiger, Panthera tigris",1,tiger,0,tiger,0,tiger,0
"cheetah, chetah, Acinonyx jubatus",1,cheetah,0,cheetah,0,cheetah,0
"brown bear, bruin, Ursus arctos",1,brown bear,1,bear,0,bear,0
"American black bear, black bear, Ursus americanus, Euarctos americanus",1,American black bear,1,bear,0,bear,0
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1,ice bear,1,bear,0,bear,0
"sloth bear, Melursus ursinus, Ursus ursinus",1,sloth bear,1,bear,0,bear,0
mongoose,0,mongoose,0,mongoose,0,mongoose,0
"meerkat, mierkat",1,meerkat,0,meerkat,0,meerkat,0
tiger beetle,1,tiger beetle,1,beetle,0,beetle,0
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1,ladybug,0,ladybug,0,ladybug,0
"ground beetle, carabid beetle",1,ground beetle,1,beetle,0,beetle,0
"long-horned beetle, longicorn, longicorn beetle",1,long-horned beetle,1,beetle,0,beetle,0
"leaf beetle, chrysomelid",1,leaf beetle,1,beetle,0,beetle,0
dung beetle,1,dung beetle,1,beetle,0,beetle,0
rhinoceros beetle,1,rhinoceros beetle,1,beetle,0,beetle,0
weevil,0,weevil,0,weevil,0,weevil,0
fly,0,fly,0,fly,0,fly,0
bee,0,bee,0,bee,0,bee,0
"ant, emmet, pismire",1,ant,0,ant,0,ant,0
"grasshopper, hopper",1,grasshopper,0,grasshopper,0,grasshopper,0
cricket,0,cricket,0,cricket,0,cricket,0
"walking stick, walkingstick, stick insect",1,walking stick,1,stick,0,stick,0
"cockroach, roach",1,cockroach,0,cockroach,0,cockroach,0
"mantis, mantid",1,mantis,0,mantis,0,mantis,0
"cicada, cicala",1,cicada,0,cicada,0,cicada,0
leafhopper,0,leafhopper,0,leafhopper,0,leafhopper,0
"lacewing, lacewing fly",1,lacewing,0,lacewing,0,lacewing,0
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1,dragonfly,0,dragonfly,0,dragonfly,0
damselfly,0,damselfly,0,damselfly,0,damselfly,0
admiral,0,admiral,0,admiral,0,admiral,0
"ringlet, ringlet butterfly",1,ringlet,0,ringlet,0,ringlet,0
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1,monarch,0,monarch,0,monarch,0
cabbage butterfly,1,cabbage butterfly,1,butterfly,0,butterfly,0
"sulphur butterfly, sulfur butterfly",1,sulphur butterfly,1,butterfly,0,butterfly,0
"lycaenid, lycaenid butterfly",1,lycaenid,1,lycaenid,1,butterfly,0
"starfish, sea star",1,starfish,0,starfish,0,starfish,0
sea urchin,1,sea urchin,1,urchin,0,urchin,0
"sea cucumber, holothurian",1,sea cucumber,1,cucumber,0,cucumber,0
"wood rabbit, cottontail, cottontail rabbit",1,wood rabbit,1,rabbit,0,rabbit,0
hare,0,hare,0,hare,0,hare,0
"Angora, Angora rabbit",1,Angora,0,Angora,0,Angora,0
hamster,0,hamster,0,hamster,0,hamster,0
"porcupine, hedgehog",1,porcupine,0,porcupine,0,porcupine,0
"fox squirrel, eastern fox squirrel, Sciurus niger",1,fox squirrel,1,squirrel,0,squirrel,0
marmot,0,marmot,0,marmot,0,marmot,0
beaver,0,beaver,0,beaver,0,beaver,0
"guinea pig, Cavia cobaya",1,guinea pig,1,pig,0,pig,0
sorrel,0,sorrel,0,sorrel,0,sorrel,0
zebra,0,zebra,0,zebra,0,zebra,0
"hog, pig, grunter, squealer, Sus scrofa",1,hog,0,hog,0,hog,0
"wild boar, boar, Sus scrofa",1,wild boar,1,boar,0,boar,0
warthog,0,warthog,0,warthog,0,warthog,0
"hippopotamus, hippo, river horse, Hippopotamus amphibius",1,hippopotamus,0,hippopotamus,0,hippopotamus,0
ox,0,ox,0,ox,0,ox,0
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1,water buffalo,1,buffalo,0,buffalo,0
bison,0,bison,0,bison,0,bison,0
"ram, tup",1,ram,0,ram,0,ram,0
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1,bighorn,0,bighorn,0,bighorn,0
"ibex, Capra ibex",1,ibex,0,ibex,0,ibex,0
hartebeest,0,hartebeest,0,hartebeest,0,hartebeest,0
"impala, Aepyceros melampus",1,impala,0,impala,0,impala,0
gazelle,0,gazelle,0,gazelle,0,gazelle,0
"Arabian camel, dromedary, Camelus dromedarius",1,Arabian camel,1,camel,0,camel,0
llama,0,llama,0,llama,0,llama,0
weasel,0,weasel,0,weasel,0,weasel,0
mink,0,mink,0,mink,0,mink,0
"polecat, fitch, foulmart, foumart, Mustela putorius",1,polecat,0,polecat,0,polecat,0
"black-footed ferret, ferret, Mustela nigripes",1,black-footed ferret,1,ferret,0,ferret,0
otter,0,otter,0,otter,0,otter,0
"skunk, polecat, wood pussy",1,skunk,0,skunk,0,skunk,0
badger,0,badger,0,badger,0,badger,0
armadillo,0,armadillo,0,armadillo,0,armadillo,0
"three-toed sloth, ai, Bradypus tridactylus",1,three-toed sloth,1,sloth,0,sloth,0
"orangutan, orang, orangutang, Pongo pygmaeus",1,orangutan,0,orangutan,0,orangutan,0
"gorilla, Gorilla gorilla",1,gorilla,0,gorilla,0,gorilla,0
"chimpanzee, chimp, Pan troglodytes",1,chimpanzee,0,chimpanzee,0,chimpanzee,0
"gibbon, Hylobates lar",1,gibbon,0,gibbon,0,gibbon,0
"siamang, Hylobates syndactylus, Symphalangus syndactylus",1,siamang,0,siamang,0,siamang,0
"guenon, guenon monkey",1,guenon,0,guenon,0,guenon,0
"patas, hussar monkey, Erythrocebus patas",1,patas,0,patas,0,patas,0
baboon,0,baboon,0,baboon,0,baboon,0
macaque,0,macaque,0,macaque,0,macaque,0
langur,0,langur,0,langur,0,langur,0
"colobus, colobus monkey",1,colobus,0,colobus,0,colobus,0
"proboscis monkey, Nasalis larvatus",1,proboscis monkey,1,monkey,0,monkey,0
marmoset,0,marmoset,0,marmoset,0,marmoset,0
"capuchin, ringtail, Cebus capucinus",1,capuchin,0,capuchin,0,capuchin,0
"howler monkey, howler",1,howler monkey,1,monkey,0,monkey,0
"titi, titi monkey",1,titi,0,titi,0,titi,0
"spider monkey, Ateles geoffroyi",1,spider monkey,1,monkey,0,monkey,0
"squirrel monkey, Saimiri sciureus",1,squirrel monkey,1,monkey,0,monkey,0
"Madagascar cat, ring-tailed lemur, Lemur catta",1,Madagascar cat,1,cat,0,cat,0
"indri, indris, Indri indri, Indri brevicaudatus",1,indri,0,indri,0,indri,0
"Indian elephant, Elephas maximus",1,Indian elephant,1,elephant,0,elephant,0
"African elephant, Loxodonta africana",1,African elephant,1,elephant,0,elephant,0
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",1,lesser panda,1,panda,0,panda,0
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",1,giant panda,1,panda,0,panda,0
"barracouta, snoek",1,barracouta,1,barracouta,1,fish,0
eel,0,eel,0,eel,0,eel,0
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1,coho,0,coho,0,coho,0
"rock beauty, Holocanthus tricolor",1,rock beauty,1,beauty,0,beauty,0
